Row-number,IATI-XML,IATI-Section,IATI-Item,Proposed-IATI-Field,Proposed-HXL-Hashtag,Proposed-Database-Field,Notes
254,iati-activities/iati-activity/transaction/sector/narrative/@xml:lang,,xml:lang,,,,
255,iati-activities/iati-activity/transaction/recipient-country,,recipient-country,,,,
256,iati-activities/iati-activity/transaction/recipient-country/@code,,code,,,,
257,iati-activities/iati-activity/transaction/recipient-country/narrative,,narrative,,,,
258,iati-activities/iati-activity/transaction/recipient-country/narrative/text(),,,,,,
259,iati-activities/iati-activity/transaction/recipient-country/narrative/@xml:lang,,xml:lang,,,,
260,iati-activities/iati-activity/transaction/recipient-region,,recipient-region,,,,
261,iati-activities/iati-activity/transaction/recipient-region/@code,,code,,,,
262,iati-activities/iati-activity/transaction/recipient-region/@vocabulary,,vocabulary,,,,
263,iati-activities/iati-activity/transaction/recipient-region/@vocabulary-uri,,vocabulary-uri,,,,
264,iati-activities/iati-activity/transaction/recipient-region/narrative,,narrative,,,,
265,iati-activities/iati-activity/transaction/recipient-region/narrative/text(),,,,,,
266,iati-activities/iati-activity/transaction/recipient-region/narrative/@xml:lang,,xml:lang,,,,
267,iati-activities/iati-activity/transaction/flow-type,,flow-type,,,,
268,iati-activities/iati-activity/transaction/flow-type/@code,,code,,,,
269,iati-activities/iati-activity/transaction/finance-type,,finance-type,,,,
270,iati-activities/iati-activity/transaction/finance-type/@code,,code,,,,
271,iati-activities/iati-activity/transaction/aid-type,,aid-type,,,,
272,iati-activities/iati-activity/transaction/aid-type/@code,,code,,,,
273,iati-activities/iati-activity/transaction/aid-type/@vocabulary,,vocabulary,,,,
274,iati-activities/iati-activity/transaction/tied-status,,tied-status,,,,
275,iati-activities/iati-activity/transaction/tied-status/@code,,code,,,,
276,iati-activities/iati-activity/document-link,document-link,,,,,
277,iati-activities/iati-activity/document-link/@url,,url,,,,
278,iati-activities/iati-activity/document-link/@format,,format,,,,
279,iati-activities/iati-activity/document-link/title,,title,,,,
280,iati-activities/iati-activity/document-link/title/narrative,,narrative,,,,
281,iati-activities/iati-activity/document-link/title/narrative/text(),,,,,,
282,iati-activities/iati-activity/document-link/title/narrative/@xml:lang,,xml:lang,,,,
283,iati-activities/iati-activity/document-link/description,,description,,,,
284,iati-activities/iati-activity/document-link/description/narrative,,narrative,,,,
285,iati-activities/iati-activity/document-link/description/narrative/text(),,,,,,
286,iati-activities/iati-activity/document-link/description/narrative/@xml:lang,,xml:lang,,,,
287,iati-activities/iati-activity/document-link/category,,category,,,,
288,iati-activities/iati-activity/document-link/category/@code,,code,,,,
289,iati-activities/iati-activity/document-link/language,,language,,,,
290,iati-activities/iati-activity/document-link/language/@code,,code,,,,
291,iati-activities/iati-activity/document-link/document-date,,document-date,,,,
292,iati-activities/iati-activity/document-link/document-date/@iso-date,,iso-date,,,,
293,iati-activities/iati-activity/related-activity,related-activity,,,,,
294,iati-activities/iati-activity/related-activity/@ref,,ref,,,,
295,iati-activities/iati-activity/related-activity/@type,,type,,,,
296,iati-activities/iati-activity/legacy-data,legacy-data,,,,,
